genes	counts
geneID00640	223
geneID00641	266
geneID00642	9
geneID00643	368
geneID00644	18
geneID00645	44
geneID00646	58
geneID00647	865
geneID00648	1
geneID00649	0
geneID00650	199
geneID00651	0
geneID00652	34
geneID00653	0
geneID00654	172
geneID00655	425
geneID00656	81
geneID00657	104
geneID00658	32
geneID00659	131
geneID00660	22
geneID00661	28
geneID00662	65
geneID00663	11
geneID00664	9
geneID00665	84
geneID00666	2953
geneID00667	1
geneID00668	0
geneID00669	153
geneID00670	237
geneID00671	436
geneID00672	4
geneID00673	0
geneID00674	0
geneID00675	6
geneID00676	110
geneID00677	0
geneID00678	32
geneID00679	20
geneID00680	0
geneID00681	126
geneID00682	0
geneID00683	0
geneID00684	70
geneID00685	1
geneID00686	5
geneID00687	0
geneID00688	181
geneID00689	41
geneID00690	171
geneID00691	0
geneID00692	0
geneID00693	0
geneID00694	147
geneID00695	177
geneID00696	0
geneID00697	20
geneID00698	105
geneID00699	0
geneID00700	55
geneID00701	48
geneID00702	0
geneID00703	158
geneID00704	198
geneID00705	184
geneID00706	0
geneID00707	0
geneID00708	323
geneID00709	218
geneID00710	13
geneID00711	97
geneID00712	93
geneID00713	0
geneID00714	35
geneID00715	60
geneID00716	0
geneID00717	14
geneID00718	3394
geneID00719	0
geneID00720	1116
geneID00721	1
geneID00722	174
geneID00723	1220
geneID00724	306
geneID00725	154
geneID00726	0
geneID00727	0
geneID00728	55
geneID00729	35
geneID00730	0
geneID00731	2419
geneID00732	0
geneID00733	1
geneID00734	130
geneID00735	2271
geneID00736	1510
geneID00737	2181
geneID00738	110
geneID00739	190
geneID00740	226
geneID00741	106
geneID00742	5
geneID00743	225
geneID00744	155
geneID00745	0
geneID00746	168
geneID00747	125
geneID00748	0
geneID00749	13
geneID00750	117
geneID00751	5
geneID00752	231
geneID00753	0
geneID00754	19
geneID00755	0
geneID00756	0
geneID00757	0
geneID00758	306
geneID00759	1
geneID00760	125
geneID00761	363
geneID00762	0
geneID00763	0
geneID00764	0
geneID00765	13
geneID00766	1
geneID00767	0
geneID00768	31
geneID00769	311
geneID00770	866
geneID00771	229
geneID00772	107
geneID00773	26
geneID00774	37
geneID00775	359
geneID00776	14
geneID00777	77
geneID00778	1
geneID00779	24
geneID00780	1
geneID00781	6
geneID00782	1
geneID00783	2
geneID00784	67
geneID00785	4002
geneID00786	173
geneID00787	3031
geneID00788	69
geneID00789	66
geneID00790	251
geneID00791	264
geneID00792	0
geneID00793	0
geneID00794	206
geneID00795	76
geneID00796	178
geneID00797	152
geneID00798	438
geneID00799	274
geneID00800	0
geneID00801	389
geneID00802	1276
geneID00803	57
geneID00804	593
geneID00805	272
geneID00806	872
geneID00807	230
geneID00808	488
geneID00809	74
geneID00810	280
geneID00811	132
geneID00812	215
geneID00813	28
geneID00814	634
geneID00815	100
geneID00816	244
geneID00817	0
geneID00818	230
geneID00819	0
geneID00820	232
geneID00821	66
geneID00822	108
geneID00823	23
geneID00824	84
geneID00825	94
geneID00826	41
geneID00827	247
geneID00828	0
geneID00829	15
geneID00830	27
geneID00831	131
geneID00832	710
geneID00833	149
geneID00834	49
geneID00835	4
geneID00836	1563
geneID00837	5
geneID00838	46
geneID00839	350
geneID00840	17
geneID00841	42
geneID00842	2
geneID00843	97
geneID00844	276
geneID00845	248
geneID00846	0
geneID00847	0
geneID00848	72
geneID00849	430
geneID00850	205
geneID00851	0
geneID00852	0
geneID00853	12
geneID00854	21
geneID00855	263
geneID00856	169
geneID00857	0
geneID00858	0
geneID00859	116
geneID00860	585
geneID00861	218
geneID00862	330
geneID00863	3
geneID00864	1
geneID00865	295
geneID00866	16
geneID00867	0
geneID00868	2
geneID00869	40
geneID00870	31
geneID00871	1304
geneID00872	1156
geneID00873	21
geneID00874	119
geneID00875	0
geneID00876	0
geneID00877	87
geneID00878	0
geneID00879	314
geneID00880	164
geneID00881	133
geneID00882	61
geneID00883	733
geneID00884	50
geneID00885	184
geneID00886	1432
geneID00887	2
geneID00888	0
geneID00889	1
geneID00890	0
geneID00891	71
geneID00892	0
geneID00893	18
geneID00894	119
geneID00895	372
geneID00896	270
geneID00897	17
geneID00898	191
geneID00899	38
geneID00900	199
geneID00901	7
geneID00902	1
geneID00903	123
geneID00904	22
geneID00905	0
geneID00906	188
geneID00907	53
geneID00908	0
geneID00909	0
geneID00910	101
geneID00911	250
geneID00912	10
geneID00913	79
geneID00914	2184
geneID00915	76
geneID00916	1
geneID00917	1375
geneID00918	0
geneID00919	227
geneID00920	1535
geneID00921	50
geneID00922	35
geneID00923	419
geneID00924	0
geneID00925	16
geneID00926	4115
geneID00927	107
geneID00928	75
geneID00929	0
geneID00930	246
geneID00931	36
geneID00932	739
geneID00933	657
geneID00934	749
geneID00935	704
geneID00936	0
geneID00937	13
geneID00938	417
geneID00939	55
geneID00940	174
geneID00941	4
geneID00942	226
geneID00943	73
geneID00944	295
geneID00945	149
geneID00946	69
geneID00947	253
geneID00948	116
geneID00949	6
geneID00950	1
geneID00951	234
geneID00952	5
geneID00953	100
geneID00954	0
geneID00955	3
geneID00956	0
geneID00957	91
geneID00958	2
geneID00959	51
geneID00960	109
geneID00961	375
geneID00962	36
geneID00963	0
geneID00964	0
geneID00965	175
geneID00966	205
geneID00967	43
geneID00968	70
geneID00969	36
geneID00970	5
geneID00971	89
geneID00972	39
geneID00973	0
geneID00974	0
geneID00975	193
geneID00976	171
geneID00977	7
geneID00978	63
geneID00979	0
geneID00980	299
geneID00981	232
geneID00982	0
geneID00983	373
geneID00984	31
geneID00985	0
geneID00986	296
geneID00987	143
geneID00988	2
geneID00989	150
geneID00990	30
geneID00991	478
geneID00992	3
geneID00993	233
geneID00994	161
geneID00995	27
geneID00996	0
geneID00997	98
geneID00998	126
geneID00999	189
geneID01000	3
geneID01001	0
geneID01002	563
geneID01003	0
geneID01004	116
geneID01005	19
geneID01006	145
geneID01007	227
geneID01008	0
geneID01009	0
geneID01010	243
geneID01011	0
geneID01012	320
geneID01013	159
geneID01014	349
geneID01015	13
geneID01016	720
geneID01017	5
geneID01018	15
geneID01019	4
geneID01020	8
geneID01021	135
geneID01022	336
geneID01023	0
geneID01024	0
geneID01025	0
geneID01026	654
geneID01027	102
geneID01028	39
geneID01029	0
geneID01030	356
geneID01031	197
geneID01032	180
geneID01033	0
geneID01034	267
geneID01035	192
geneID01036	1072
geneID01037	0
geneID01038	10
geneID01039	74
geneID01040	7
geneID01041	0
geneID01042	124
geneID01043	18
geneID01044	143
geneID01045	0
geneID01046	0
geneID01047	50
geneID01048	213
geneID01049	1
geneID01050	255
geneID01051	2
geneID01052	0
geneID01053	2
geneID01054	166
geneID01055	130
geneID01056	843
geneID01057	411
geneID01058	86
geneID01059	250
geneID01060	0
geneID01061	165
geneID01062	109
geneID01063	351
geneID01064	66
geneID01065	475
geneID01066	263
geneID01067	593
geneID01068	1225
geneID01069	42
geneID01070	34
geneID01071	51
geneID01072	119
geneID01073	66
geneID01074	0
geneID01075	21
geneID01076	153
geneID01077	1
geneID01078	0
geneID01079	50
geneID01080	21
geneID01081	0
geneID01082	53
geneID01083	30
geneID01084	18
geneID01085	304
geneID01086	0
geneID01087	104
geneID01088	6
geneID01089	50
geneID01090	1
geneID01091	59
geneID01092	0
geneID01093	109
geneID01094	0
geneID01095	322
geneID01096	1
geneID01097	206
geneID01098	94
geneID01099	362
geneID01100	47
geneID01101	189
geneID01102	259
geneID01103	63
geneID01104	49
geneID01105	2
geneID01106	89
geneID01107	115
geneID01108	0
geneID01109	0
geneID01110	49
geneID01111	137
geneID01112	237
geneID01113	15
geneID01114	61
geneID01115	1289
geneID01116	35
geneID01117	7
geneID01118	0
geneID01119	0
geneID01120	289
geneID01121	317
