genes	counts
geneID00965	206
geneID00966	235
geneID00967	50
geneID00968	108
geneID00969	34
geneID00970	2
geneID00971	76
geneID00972	43
geneID00973	0
geneID00974	3
geneID00975	267
geneID00976	254
geneID00977	9
geneID00978	51
geneID00979	0
geneID00980	481
geneID00981	371
geneID00982	0
geneID00983	472
geneID00984	28
geneID00985	0
geneID00986	372
geneID00987	179
geneID00988	0
geneID00989	331
geneID00990	76
geneID00991	926
geneID00992	6
geneID00993	264
geneID00994	187
geneID00995	38
geneID00996	1
geneID00997	104
geneID00998	97
geneID00999	247
geneID01000	4
geneID01001	1
geneID01002	902
geneID01003	0
geneID01004	165
geneID01005	23
geneID01006	209
geneID01007	413
geneID01008	0
geneID01009	1
geneID01010	317
geneID01011	0
geneID01012	559
geneID01013	211
geneID01014	539
geneID01015	27
geneID01016	744
geneID01017	8
geneID01018	46
geneID01019	1
geneID01020	3
geneID01021	156
geneID01022	614
geneID01023	0
geneID01024	0
geneID01025	0
geneID01026	773
geneID01027	97
geneID01028	53
geneID01029	0
geneID01030	556
geneID01031	303
geneID01032	269
geneID01033	0
geneID01034	241
geneID01035	226
geneID01036	1603
geneID01037	0
geneID01038	7
geneID01039	96
geneID01040	10
geneID01041	0
geneID01042	143
geneID01043	26
geneID01044	210
geneID01045	0
geneID01046	1
geneID01047	76
geneID01048	371
geneID01049	0
geneID01050	326
geneID01051	1
geneID01052	0
geneID01053	0
geneID01054	185
geneID01055	205
geneID01056	1110
geneID01057	658
geneID01058	57
geneID01059	271
geneID01060	0
geneID01061	228
geneID01062	187
geneID01063	404
geneID01064	58
geneID01065	742
geneID01066	341
geneID01067	1056
geneID01068	1417
geneID01069	47
geneID01070	67
geneID01071	54
geneID01072	142
geneID01073	101
geneID01074	0
geneID01075	24
geneID01076	234
geneID01077	1
geneID01078	10
geneID01079	69
geneID01080	29
geneID01081	1
geneID01082	79
geneID01083	55
geneID01084	48
geneID01085	556
geneID01086	0
geneID01087	152
geneID01088	8
geneID01089	51
geneID01090	2
geneID01091	107
geneID01092	0
geneID01093	112
geneID01094	0
geneID01095	356
geneID01096	0
geneID01097	216
geneID01098	95
geneID01099	552
geneID01100	85
geneID01101	217
geneID01102	360
geneID01103	94
geneID01104	65
geneID01105	2
geneID01106	61
geneID01107	150
geneID01108	0
geneID01109	0
geneID01110	49
geneID01111	201
geneID01112	256
geneID01113	26
geneID01114	113
geneID01115	1747
geneID01116	56
geneID01117	10
geneID01118	1
geneID01119	0
geneID01120	331
geneID01121	427
geneID01122	0
geneID01123	0
geneID01124	0
geneID01125	3
geneID01126	9
geneID01127	1
geneID01128	65
geneID01129	0
geneID01130	3
geneID01131	0
geneID01132	78
geneID01133	0
geneID01134	0
geneID01135	978
geneID01136	0
geneID01137	0
geneID01138	0
geneID01139	94
geneID01140	1649
geneID01141	0
geneID01142	347
geneID01143	148
geneID01144	813
geneID01145	0
geneID01146	0
geneID01147	35
geneID01148	61
geneID01149	453
geneID01150	43
geneID01151	3
geneID01152	892
geneID01153	75
geneID01154	93
geneID01155	0
geneID01156	0
geneID01157	137
geneID01158	0
geneID01159	288
geneID01160	131
geneID01161	0
geneID01162	1117
geneID01163	1847
geneID01164	118
geneID01165	3781
geneID01166	360
geneID01167	101
geneID01168	253
geneID01169	28
geneID01170	77
geneID01171	1833
geneID01172	1
geneID01173	0
geneID01174	0
geneID01175	377
geneID01176	65
geneID01177	238
geneID01178	94
geneID01179	0
geneID01180	0
geneID01181	3
geneID01182	1513
geneID01183	0
geneID01184	104
geneID01185	0
geneID01186	0
geneID01187	314
geneID01188	18
geneID01189	10
geneID01190	1
geneID01191	65
geneID01192	1638
geneID01193	11
geneID01194	47
geneID01195	405
geneID01196	0
geneID01197	61
geneID01198	0
geneID01199	0
geneID01200	0
geneID01201	0
geneID01202	0
geneID01203	1
geneID01204	28
geneID01205	0
geneID01206	31
geneID01207	665
geneID01208	210
geneID01209	92
geneID01210	198
geneID01211	7
geneID01212	1070
geneID01213	37
geneID01214	22
geneID01215	75
geneID01216	714
geneID01217	15
geneID01218	328
geneID01219	0
geneID01220	221
geneID01221	319
geneID01222	228
geneID01223	167
geneID01224	50
geneID01225	35
geneID01226	1096
geneID01227	0
geneID01228	205
geneID01229	0
geneID01230	485
geneID01231	505
geneID01232	36
geneID01233	0
geneID01234	256
geneID01235	311
geneID01236	11
geneID01237	0
geneID01238	188
geneID01239	257
geneID01240	59
geneID01241	0
geneID01242	9
geneID01243	0
geneID01244	87
geneID01245	256
geneID01246	0
geneID01247	0
geneID01248	53
geneID01249	1
geneID01250	102
geneID01251	326
geneID01252	0
geneID01253	0
geneID01254	0
geneID01255	0
geneID01256	97
geneID01257	72
geneID01258	31
geneID01259	101
geneID01260	5
geneID01261	180
geneID01262	249
geneID01263	720
geneID01264	64
geneID01265	60
geneID01266	21
geneID01267	2393
geneID01268	0
geneID01269	111
geneID01270	381
geneID01271	284
geneID01272	704
geneID01273	110
geneID01274	381
geneID01275	0
geneID01276	660
geneID01277	0
geneID01278	1
geneID01279	1
geneID01280	4304
geneID01281	280
geneID01282	1244
geneID01283	276
geneID01284	0
geneID01285	0
geneID01286	2
geneID01287	0
geneID01288	49
geneID01289	17
geneID01290	161
geneID01291	98
geneID01292	423
geneID01293	310
geneID01294	72
geneID01295	74
geneID01296	1030
geneID01297	90
geneID01298	88
geneID01299	15
geneID01300	143
geneID01301	404
geneID01302	1
geneID01303	20
geneID01304	19
geneID01305	711
geneID01306	445
geneID01307	119
geneID01308	400
geneID01309	33
geneID01310	0
geneID01311	156
geneID01312	612
geneID01313	14
geneID01314	77
geneID01315	166
geneID01316	57
geneID01317	832
geneID01318	201
geneID01319	1
geneID01320	2
geneID01321	0
geneID01322	569
geneID01323	44
geneID01324	3
geneID01325	267
geneID01326	271
geneID01327	4
geneID01328	220
geneID01329	24
geneID01330	92
geneID01331	32
geneID01332	3
geneID01333	0
geneID01334	4720
geneID01335	102
geneID01336	137
geneID01337	0
geneID01338	0
geneID01339	0
geneID01340	0
geneID01341	2
geneID01342	6
geneID01343	0
geneID01344	1
geneID01345	0
geneID01346	0
geneID01347	667
geneID01348	120
geneID01349	161
geneID01350	0
geneID01351	9
geneID01352	0
geneID01353	0
geneID01354	0
geneID01355	1
geneID01356	0
geneID01357	0
geneID01358	46
geneID01359	0
geneID01360	261
geneID01361	6
geneID01362	8
geneID01363	2
geneID01364	374
geneID01365	6
geneID01366	352
geneID01367	877
geneID01368	98
geneID01369	30
geneID01370	0
geneID01371	0
geneID01372	152
geneID01373	90
geneID01374	92
geneID01375	36
geneID01376	107
geneID01377	239
geneID01378	0
geneID01379	206
geneID01380	163
geneID01381	278
geneID01382	0
geneID01383	227
geneID01384	53
geneID01385	18
geneID01386	848
geneID01387	197
geneID01388	6
geneID01389	92
geneID01390	33
geneID01391	611
geneID01392	3
geneID01393	378
geneID01394	157
geneID01395	232
geneID01396	470
geneID01397	91
geneID01398	0
geneID01399	274
geneID01400	49
geneID01401	2
geneID01402	1
geneID01403	0
geneID01404	11
geneID01405	38
geneID01406	116
geneID01407	75
geneID01408	0
geneID01409	73
geneID01410	273
geneID01411	2
geneID01412	3
geneID01413	13
geneID01414	37
geneID01415	70
geneID01416	0
geneID01417	0
geneID01418	86
geneID01419	1
geneID01420	2
geneID01421	22
geneID01422	362
geneID01423	84
